Q1.AI_knowledge,Q7.Utility_grade,Q16.GPA,Cluster,Cluster_Name
8,9,9.2,1,K2
7,6,7.7,2,K3
5,6,7.2,2,K3
5,9,8.2,3,K4
4,8,7.7,3,K4
5,6,7.7,2,K3
7,10,7.2,0,K1
6,8,6.7,0,K1
6,8,7.7,0,K1
4,7,8.2,3,K4
4,10,7.7,3,K4
6,4,7.7,2,K3
9,10,9.7,1,K2
9,9,9.2,1,K2
7,10,9.2,1,K2
6,4,8.2,2,K3
1,3,6.2,4,K5
8,8,9.2,1,K2
7,6,7.7,2,K3
6,6,8.7,2,K3
6,8,7.2,0,K1
7,4,8.7,2,K3
7,7,7.7,0,K1
5,7,9.2,1,K2
4,6,7.2,3,K4
5,8,8.7,3,K4
7,9,8.2,1,K2
3,7,8.7,3,K4
6,10,7.7,0,K1
5,4,7.7,2,K3
5,7,7.7,3,K4
6,6,7.7,2,K3
5,5,7.7,2,K3
7,4,7.2,2,K3
6,7,6.2,0,K1
8,9,7.2,0,K1
10,9,6.7,0,K1
8,10,7.7,0,K1
7,7,7.7,0,K1
7,8,7.7,0,K1
7,7,6.2,0,K1
5,8,8.2,3,K4
8,9,8.7,1,K2
5,9,7.7,3,K4
6,10,7.7,0,K1
3,10,6.7,3,K4
8,3,7.2,2,K3
7,10,7.7,0,K1
9,10,7.7,0,K1
7,8,7.2,0,K1
3,8,7.7,3,K4
4,5,6.2,4,K5
7,6,9.2,1,K2
5,9,7.7,3,K4
5,7,7.2,3,K4
6,10,7.2,0,K1
5,8,9.2,1,K2
8,8,7.7,0,K1
4,10,9.7,1,K2
5,10,7.7,3,K4
6,10,9.7,1,K2
4,10,8.2,3,K4
8,9,9.2,1,K2
6,6,7.7,2,K3
7,8,9.2,1,K2
5,3,7.7,2,K3
8,6,7.7,2,K3
1,10,7.2,3,K4
6,9,8.7,1,K2
4,6,7.7,3,K4
9,10,6.7,0,K1
10,10,8.7,1,K2
8,10,9.2,1,K2
6,5,8.7,2,K3
5,5,8.2,2,K3
4,7,5.7,4,K5
7,10,8.7,1,K2
4,8,8.7,3,K4
4,7,7.2,3,K4
8,8,7.7,0,K1
8,8,7.2,0,K1
3,3,5.7,4,K5
7,8,7.7,0,K1
5,7,6.7,3,K4
6,6,8.2,2,K3
1,6,5.7,4,K5
8,7,7.2,0,K1
6,7,8.7,1,K2
9,10,6.2,0,K1
2,2,8.7,2,K3
2,2,5.2,4,K5
